date,year,tourney_name,surface,indoor,commitment,draw_size,url
19760712,1976,Kitzbuhel,Clay,Outdoor,"$75,000",64,https://www.atptour.com/en/scores/archive/kitzbuhel/319/1976/results
19760713,1976,Hilversum,Clay,Outdoor,"$50,000",32,https://www.atptour.com/en/scores/archive/hilversum/317/1976/results
19760719,1976,Washington,Clay,Outdoor,"$125,000",64,https://www.atptour.com/en/scores/archive/washington/418/1976/results
19760726,1976,Louisville,Clay,Outdoor,"$125,000",64,https://www.atptour.com/en/scores/archive/louisville/663/1976/results
19760802,1976,North Conway,Clay,Outdoor,"$100,000",64,https://www.atptour.com/en/scores/archive/north-conway/705/1976/results
19760802,1976,Columbus,Hard,Outdoor,"$87,500",64,https://www.atptour.com/en/scores/archive/columbus/343/1976/results
19760809,1976,Indianapolis,Clay,Outdoor,"$125,000",64,https://www.atptour.com/en/scores/archive/indianapolis/717/1976/results
19760817,1976,Montreal / Toronto,Clay,Outdoor,"$125,000",64,https://www.atptour.com/en/scores/archive/montreal/421/1976/results
19760823,1976,Boston,Clay,Outdoor,"$125,000",64,https://www.atptour.com/en/scores/archive/boston/417/1976/results
19760823,1976,South Orange,Clay,Outdoor,"$50,000",32,https://www.atptour.com/en/scores/archive/south-orange/707/1976/results
19760901,1976,US Open,Clay,Outdoor,"$217,000",128,https://www.atptour.com/en/scores/archive/us-open/560/1976/results
19760913,1976,Bermuda,Clay,Outdoor,"$50,000",32,https://www.atptour.com/en/scores/archive/bermuda/2014/1976/results
19760915,1976,Woodlands Doubles,Hard,Outdoor,"$100,000",0,https://www.atptour.com/en/scores/archive/woodlands/801/1976/results
19760916,1976,Newport,Grass,Outdoor,"$35,000",16,https://www.atptour.com/en/scores/archive/newport/315/1976/results
19760920,1976,Los Angeles,Carpet,Indoor,"$125,000",64,https://www.atptour.com/en/scores/archive/los-angeles/423/1976/results
19760927,1976,San Francisco,Carpet,Indoor,"$125,000",64,https://www.atptour.com/en/scores/archive/san-francisco/424/1976/results
19761004,1976,Tehran,Clay,Outdoor,"$150,000",64,https://www.atptour.com/en/scores/archive/tehran/2011/1976/results
19761004,1976,Maui,Hard,Outdoor,"$100,000",64,https://www.atptour.com/en/scores/archive/maui/324/1976/results
19761011,1976,Madrid,Clay,Outdoor,"$100,000",64,https://www.atptour.com/en/scores/archive/madrid/2015/1976/results
19761011,1976,Brisbane,Grass,Outdoor,"$50,000",32,https://www.atptour.com/en/scores/archive/brisbane/326/1976/results
19761018,1976,Sydney Indoor,Hard,Indoor,"$125,000",64,https://www.atptour.com/en/scores/archive/sydney/427/1976/results
19761018,1976,Barcelona,Clay,Outdoor,"$100,000",64,https://www.atptour.com/en/scores/archive/barcelona/425/1976/results
19761025,1976,Paris Indoor,Hard,Indoor,"$50,000",32,https://www.atptour.com/en/scores/archive/paris/7302/1976/results
19761025,1976,Perth,Carpet,Indoor,"$50,000",32,https://www.atptour.com/en/scores/archive/perth/243/1976/results
