date,year,tourney_name,tourney_id,surface,indoor,commitment,draw_size,url
19990510,1999,ATP Masters 1000 Rome,1999_416,Clay,Outdoor,$2450000,64,https://www.atptour.com/en/scores/archive/rome/416/1999/results
19990516,1999,World Team Cup,1999_615,Clay,Outdoor,$1650000,64,https://www.atptour.com/en/scores/archive/dusseldorf/615/1999/results
19990517,1999,St. Poelten,1999_306,Clay,Outdoor,$425000,32,https://www.atptour.com/en/scores/archive/st-poelten/306/1999/results
19990524,1999,Roland Garros,1999_520,Clay,Outdoor,$5159915,128,https://www.atptour.com/en/scores/archive/roland-garros/520/1999/results
19990607,1999,Halle,1999_500,Grass,Outdoor,$900000,32,https://www.atptour.com/en/scores/archive/halle/500/1999/results
19990607,1999,London / Queen's Club,1999_311,Grass,Outdoor,$750000,56,https://www.atptour.com/en/scores/archive/london/311/1999/results
19990607,1999,Merano,1999_473,Clay,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/merano/473/1999/results
19990614,1999,'s-Hertogenbosch,1999_440,Grass,Outdoor,$500000,32,https://www.atptour.com/en/scores/archive/s-hertogenbosch/440/1999/results
19990614,1999,Nottingham,1999_741,Grass,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/nottingham/741/1999/results
19990621,1999,Wimbledon,1999_540,Grass,Outdoor,$5614685,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1999/results
19990705,1999,Gstaad,1999_314,Clay,Outdoor,$550000,32,https://www.atptour.com/en/scores/archive/gstaad/314/1999/results
19990705,1999,Bastad,1999_316,Clay,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/bastad/316/1999/results
19990705,1999,Newport,1999_315,Grass,Outdoor,$320000,32,https://www.atptour.com/en/scores/archive/newport/315/1999/results
19990719,1999,Stuttgart Outdoor,1999_321,Clay,Outdoor,$1040000,48,https://www.atptour.com/en/scores/archive/stuttgart/321/1999/results
19990726,1999,Kitzbuhel,1999_319,Clay,Outdoor,$525000,48,https://www.atptour.com/en/scores/archive/kitzbuhel/319/1999/results
19990726,1999,Umag,1999_439,Clay,Outdoor,$400000,32,https://www.atptour.com/en/scores/archive/umag/439/1999/results
19990726,1999,Los Angeles,1999_423,Hard,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/los-angeles/423/1999/results
19990802,1999,ATP Masters 1000 Canada,1999_421,Hard,Outdoor,$2450000,56,https://www.atptour.com/en/scores/archive/montreal/421/1999/results
19990802,1999,Amsterdam,1999_317,Clay,Outdoor,$500000,32,https://www.atptour.com/en/scores/archive/amsterdam/317/1999/results
